 ,background,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
background,173612272,175491,231871,229632,175625,873424,114557,87589,353343,450188,97871,213364,334969,142306,167437,821869,128033,102961,615724,419004,198668
aeroplane,160753,1756695,0,0,2521,208,0,0,0,0,0,0,0,0,0,3596,0,0,0,40,0
bicycle,221454,0,569488,0,0,360,0,1103,0,0,0,0,0,0,3265,17088,0,0,0,0,79
bird,108751,0,0,2002351,0,1288,58,0,11411,0,1494,0,9559,0,0,10595,0,6378,0,0,0
boat,335268,173,0,70,974295,0,0,292,107,0,0,0,0,0,1150,7232,576,0,0,26572,2918
bottle,112968,403,1271,0,0,1752172,635,196,49,0,0,15123,0,0,0,38569,0,0,391,0,0
bus,212170,371,0,0,159,0,4078966,18268,0,0,0,0,0,0,0,10176,0,0,0,642,0
car,351572,500,4023,0,2147,11917,16587,3185799,0,0,144,0,412,0,17079,2902,0,0,0,372,0
cat,101465,0,0,30071,0,2769,0,0,5478729,5443,5356,395,81590,178,0,12695,0,749,1511,0,0
chair,715411,0,2727,0,196,0,726,831,4992,1003405,13,62891,9132,5,459,59961,1239,0,250472,1459,274
cow,113047,0,0,0,0,0,0,6510,5514,0,2747573,0,23000,46000,278,2797,0,21977,0,0,148
diningtable,830444,0,0,0,0,3632,0,0,134,69590,0,1841727,94,0,0,78543,748,0,17963,0,21875
dog,228610,0,0,0,0,6,0,937,144814,2140,15146,199,4557006,27342,2631,48258,0,4555,2745,0,0
horse,193492,0,0,0,0,0,0,0,0,0,102331,0,315,2320407,0,8363,0,17029,0,0,0
motorbike,131945,0,6148,0,0,0,0,78278,0,26260,0,0,0,0,2300795,44014,0,0,0,0,0
person,931873,3665,27448,3228,1681,27141,11761,24001,7529,37228,83479,20604,141103,89046,88921,11436736,323,2295,53247,6235,2079
pottedplant,504181,0,255,936,17,0,0,0,239,1497,0,422,0,0,0,337,720372,0,4427,0,1879
sheep,106190,0,0,0,0,0,0,0,0,0,112043,0,40326,5178,14,333,0,1668509,0,212,0
sofa,769915,14264,0,0,0,0,0,0,7742,421427,0,8844,8763,0,0,102971,351,61,2144897,0,0
train,219830,0,0,0,275,0,0,80,0,0,51,0,0,0,0,440,0,0,0,3698329,0
tvmonitor,412677,0,0,0,0,0,0,0,0,3939,0,0,0,0,0,2338,0,0,3,0,1352797
