 ,background,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
background,173350929,168277,792484,121867,318839,374219,191303,120433,147759,605788,102495,325505,231978,128860,260172,544571,355553,79156,780133,231772,314105
aeroplane,48577,1854711,0,47,20475,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
bicycle,89302,0,704787,0,0,0,0,853,1,0,0,175,0,0,4669,13050,0,0,0,0,0
bird,146415,0,0,1987704,60,258,58,0,1655,0,3107,0,3820,0,0,2749,0,5694,0,0,365
boat,100650,7614,0,0,1197072,0,0,0,0,0,0,32856,0,0,0,1610,4558,0,0,4293,0
bottle,99077,1,1609,0,4520,1793117,635,42,0,0,0,8527,122,0,0,13542,0,0,585,0,0
bus,70479,1920,0,0,81,0,4241591,4214,0,0,0,0,0,0,909,1558,0,0,0,0,0
car,203359,2032,8211,0,3882,3383,14224,3315117,0,0,230,0,178,0,13559,4632,0,0,3,24608,36
cat,133201,0,0,0,0,189,0,0,5502112,3131,0,350,69846,0,0,9265,0,0,2857,0,0
chair,419488,0,0,0,45,0,0,10,2958,1227477,0,74774,3019,0,1444,24509,5981,0,354117,0,371
cow,47736,0,0,19,0,0,0,2018,0,0,2879342,0,20407,14945,0,2377,0,0,0,0,0
diningtable,772637,0,0,0,0,4801,0,0,91,68134,0,1977156,610,0,0,21822,10609,0,2220,0,6670
dog,138894,0,0,39,432,0,0,1250,80200,847,839,0,4781368,3923,776,8402,0,13724,3695,0,0
horse,75234,0,0,0,62,0,0,0,8526,0,59950,0,1371,2485888,0,9988,0,918,0,0,0
motorbike,62819,11,4008,0,9158,4130,0,1129,0,0,0,0,0,0,2479327,26858,0,0,0,0,0
person,818627,9124,37396,6155,13873,25320,17110,17622,2259,35932,30521,25765,72899,57764,73817,11657881,8550,1552,67159,15074,5223
pottedplant,159275,0,527,1469,0,0,24,0,18,65,0,10551,0,0,0,807,1058492,0,3334,0,0
sheep,76435,0,0,0,0,0,0,0,4177,0,3872,0,35729,0,127,24,0,1812441,0,0,0
sofa,658286,0,0,0,0,268,0,0,1664,138722,0,7399,3598,0,27137,36043,1411,0,2604423,0,284
train,212128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,601,0,0,0,3706276,0
tvmonitor,276028,0,0,0,0,0,0,0,0,14642,0,0,0,0,0,27,0,0,95,0,1480962
