 ,background,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
background,173435021,135030,846976,147148,356638,397661,166789,117821,162823,529543,106440,287241,222506,104946,270941,624645,356120,66835,789769,167678,253627
aeroplane,51519,1852066,0,0,20224,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
bicycle,60389,0,736461,0,0,0,0,825,6,0,0,0,0,0,4935,10221,0,0,0,0,0
bird,121939,0,0,2016119,50,0,58,0,1755,0,2082,0,1907,784,0,2751,0,3836,0,0,604
boat,120407,8583,0,0,1195241,0,0,0,0,0,0,16170,0,0,0,2424,1773,0,0,4055,0
bottle,91904,48,1619,0,2430,1795995,635,64,1,0,0,8527,176,0,0,19614,0,0,764,0,0
bus,79547,1998,0,0,0,0,4234293,3495,0,0,0,0,0,0,120,1299,0,0,0,0,0
car,211215,604,8613,0,3903,3503,16857,3311006,0,0,179,0,192,0,6408,4894,0,0,0,26074,6
cat,114720,0,0,0,0,142,0,0,5551302,1282,0,0,41485,0,0,8184,0,0,3836,0,0
chair,475474,0,0,0,178,0,0,233,5035,1124495,0,79603,4644,0,1493,29908,6206,0,386455,0,469
cow,47723,0,0,1417,64,0,0,3759,0,0,2868707,0,19234,20064,0,4666,0,1210,0,0,0
diningtable,799043,0,0,0,0,5271,0,0,591,57613,0,1960310,21,0,0,18846,13480,0,1613,0,7962
dog,144340,0,0,404,0,0,0,1334,106712,515,131,0,4745166,4066,1063,9431,0,16207,5020,0,0
horse,86918,0,0,0,60,0,0,0,10306,0,52127,0,497,2470491,0,14119,0,7419,0,0,0
motorbike,59594,1207,7026,0,8713,3656,0,15988,0,0,0,0,0,0,2471671,19585,0,0,0,0,0
person,729627,6526,48599,6402,14091,19504,17673,18304,6413,27653,14678,27428,67566,45130,92411,11758564,8475,1432,70917,12177,6053
pottedplant,178258,0,659,2234,0,0,18,18,16,28,0,5210,0,0,0,813,1044275,0,3033,0,0
sheep,81754,0,0,0,0,0,0,0,14023,0,2409,0,32979,0,148,201,0,1801291,0,0,0
sofa,678621,0,0,0,0,153,0,0,1318,78051,0,5849,2678,0,30605,33447,945,0,2647558,0,10
train,249356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,706,0,0,0,3668943,0
tvmonitor,281909,0,0,0,0,0,0,0,0,8777,0,0,0,0,0,39,0,0,0,0,1481029
